station,staID,latitude,longitude,elevation
Azure River,1E08P,52.57915,-119.7505,1620
Barkerville,1A03P,53.05681,-121.4921,1480
Blackwall Peak,2G03P,49.09403,-120.7726,1940
Boss Mtn. Mine,1C20P,52.1067,-120.8676,1460
Burnt Bridge Creek,3C08P,52.48082,-126.2478,1330
Cedar-Kiteen,4B18P,55.15218,-128.7112,885
Celista Mountain,1F06P,51.40595,-118.9859,1525
Cook Creek,1E14P,52.16782,-119.303632,1280
Chilliwack River,1D17P,49.031339,-121.711898,1600
Dome Mountain,1A19P,53.622089,-121.024433,1774
Enderby,1F04P,50.652472,-118.943556,1950
Grano Creek,2E07P,49.551862,-118.677135,1873
Greyback Resevoir,2F08P,49.615833,-119.422417,1550
Heather Mtn. Upper,3B24P,48.943894,-124.45196,1190
Hedrick Lake,1A14P,54.105731,-121.005802,1100
Jump Creek,3B23P,48.969505,-124.276182,1160
Kinaskan Lake,4D11P,57.57869,-130.262739,1020
Knudsen Lake,1A15P,54.302787,-120.782517,1580
Kostal Lake,1E10P,52.203681,-120.032233,1770
Longworth,1A05P,53.95083,-121.443056,1693
Lu Lake,4B15P,54.197023,-126.303875,1300
McBride,1A02P,53.307757,-120.317315,1580
Mission Creek,2F05P,49.944663,-118.949642,1780
Mosley Upper,3A24P,51.776186,-124.621912,1650
Moyie Mountain,2C10P,49.251251,-115.773837,1930
Mt Arrowsmith,3B26P,49.206953,-124.566776,1460
Mount Cook,1E02P,52.182176,-119.322784,1550
North Road Lab,3B25P,48.485897,-123.412374,1440
Nostetuko River,3A22P,51.24321,-124.4596,1500
Park Mountain,1F03P,50.449567,-118.618985,1890
Redfish Creek,2D14P,49.69007,-117.0864,2100
Revolution Creek,1A17P,53.784167,-120.375167,1690
Shedin Creek,4B16P,55.861653,-127.69842,1480
Silverstar Mountain,2F10P,50.37136,-119.0621,1840
Spuzzum Creek,1D19P,49.660645,-121.658932,1180
Squamish Upper,3A25P,50.154294,-123.436108,1340
Tenquille Lake,1D06P,50.536153,-122.929668,1680
Tsai Creek,4B17P,54.645906,-127.674272,1370
Yanks Peak,1C41P,52.831937,-121.355068,1691
Yellowhead Lake,1A01P,52.906329,-118.54777,1852
Granduc,4B12P,56.24674,-130.0661,790
Aiken Lake,4A30P,56.43666667,-125.7416667,970
Barnes Creek,2B06P,50.06907778,-118.3529694,1620
Brenda Mines,2F18P,49.86351944,-119.9839444,1460
Caribou Creek Upper,2A31P,51.10902778,-117.2284167,2201
Colpitti Creek,2A30P,51.60772222,-117.6108611,2131
Crying Girl Prairie,4A31P,56.38586111,-122.8928333,1358
Dowling Creek,4A32P,55.82508333,-122.43625,1456
East Creek,2D08P,50.6396,-116.9297333,2030
Floe Lake,2C14P,51.05753333,-116.1374778,2090
Green Mountain,1C12P,50.79558333,-122.9246111,1780
Kaza Lake,1A12P,56.02194167,-126.2952917,1257
Keystone Creek,2A18P,51.410975,-118.3615167,1840
Kwadacha North,4A27P,57.62333333,-125.0731667,1554
Mission Ridge,1C18P,50.76255556,-122.2076944,1850
Molson Creek,2A21P,52.22055556,-118.2258333,1935
Morrissey Ridge,2C09P,49.44722222,-114.975,1860
Mount Revelstoke,2A06P,51.03634167,-118.1516028,1850
Muskwa-Kechika,4A33P,56.78138889,-123.1063889,1196
North Tyaughton Creek,1C40P,51.14714167,-122.7938,1969
Pine Pass,4A02P,55.35278056,-122.6428,1400
Pulpit Lake,4A09P,57.54832778,-126.7489028,1311
Wahleach Lake,1D09P,49.23275,-121.5798833,1480
Ware Lower,4A04P,57.40755556,-125.6773389,971
Ware Upper,4A03P,57.39618056,-125.7004694,1565
Wildcat Creek,2A32P,51.69630278,-116.6294111,2122
Wolf River Upper,3B17P,49.70413889,-125.67925,1490
